count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
81003,S,2008,2008/5/21,7,3,Scotland,3,Glasgow City,A77,Major,A8,A814,258740,664700,55.85473947,-4.25821508,0.3,0.19,1,1,127,42,35,11,1,0,2,2,1,17,222
81116,N,2008,2008/4/28,7,3,Scotland,44,Argyll & Bute,A818,Major,A814,A818,229900,683100,56.01056125,-4.72999773,1.6,0.99,0,2,300,4,13,11,1,0,0,2,0,14,333
82111,S,2008,2008/5/16,7,3,Scotland,206,East Renfrewshire,M77,Major,M77,A726,252320,653855,55.75545617,-4.35479196,0.5,0.31,0,10,467,1,187,30,2,5,1,12,12,62,727
990186,N,2008,2008/4/14,7,3,Scotland,53,Comhairle nan Eilean Siar,B8027,Minor,,,142660,933210,58.21227796,-6.38305083,,,0,0,64,3,30,7,3,0,0,0,0,10,107
721,E,2007,2007/3/22,7,3,Scotland,35,Highland,A9,Major,B9174,B9174,278000,881200,57.80373229,-4.05455555,2.6,1.62,0,0,140,1,40,6,1,1,1,4,2,15,196
728,S,2007,2007/4/17,16,3,Scotland,33,Scottish Borders,A68,Major,A699,B6398,358800,631050,55.57136443,-2.65492874,1.3,0.81,0,7,568,9,102,17,2,2,0,2,3,26,712
758,N,2007,2007/6/19,7,3,Scotland,35,Highland,A82,Major,A887,A831,251300,826100,57.30119594,-4.4696815,20.5,12.74,0,0,24,0,9,3,1,0,0,1,0,5,38
786,E,2007,2007/3/27,7,3,Scotland,45,Aberdeenshire,A98,Major,LA Boundary,B9139 Portsoy,355800,865570,57.67780682,-2.74277338,6.3,3.91,0,0,77,2,31,8,1,0,0,4,1,14,124
787,N,2007,2007/9/13,7,3,Scotland,46,Moray,A98,Major,A96,A990,337400,860000,57.62559683,-3.04979342,6.3,3.91,0,0,85,3,27,9,1,1,3,6,2,22,137
1016,N,2007,2007/9/12,7,3,Scotland,37,South Lanarkshire,A70,Major,A743,A721,293000,645730,55.69319449,-3.70377394,2.3,1.43,2,0,118,10,30,9,1,3,4,1,4,22,180
1034,E,2007,2007/5/21,7,3,Scotland,31,Perth & Kinross,A85,Major,B827 Bridge Street,A822,280800,722700,56.38150878,-3.93198221,10.6,6.59,0,0,53,2,11,4,3,0,0,0,0,7,73
